yyyymm,tbl,AAA,BAA,lty,default-spread,term-spread
199708,0.0514,0.0722,0.0782,0.0672,0.0060,0.0158
199709,0.0495,0.0715,0.0770,0.0649,0.0055,0.0154
199710,0.0497,0.0700,0.0757,0.0623,0.0057,0.0126
199711,0.0514,0.0687,0.0742,0.0614,0.0055,0.0100
199712,0.0516,0.0676,0.0732,0.0602,0.0056,0.0086
199801,0.0504,0.0661,0.0719,0.0589,0.0058,0.0085
199802,0.0509,0.0667,0.0725,0.0599,0.0058,0.0090
199803,0.0503,0.0672,0.0732,0.0602,0.0060,0.0099
199804,0.0495,0.0669,0.0733,0.0604,0.0064,0.0109
199805,0.0500,0.0669,0.0730,0.0592,0.0061,0.0092
199806,0.0498,0.0653,0.0713,0.0576,0.0060,0.0078
199807,0.0496,0.0655,0.0715,0.0584,0.0060,0.0088
199808,0.0490,0.0652,0.0714,0.0547,0.0062,0.0057
199809,0.0461,0.0640,0.0709,0.0517,0.0069,0.0056
199810,0.0396,0.0637,0.0718,0.0540,0.0081,0.0144
199811,0.0441,0.0641,0.0734,0.0535,0.0093,0.0094
199812,0.0439,0.0622,0.0723,0.0542,0.0101,0.0103
199901,0.0434,0.0624,0.0729,0.0536,0.0105,0.0102
199902,0.0444,0.0640,0.0739,0.0587,0.0099,0.0143
199903,0.0444,0.0662,0.0753,0.0592,0.0091,0.0148
199904,0.0429,0.0664,0.0748,0.0594,0.0084,0.0165
199905,0.0450,0.0693,0.0772,0.0615,0.0079,0.0165
199906,0.0457,0.0723,0.0802,0.0627,0.0079,0.0170
199907,0.0455,0.0719,0.0795,0.0639,0.0076,0.0184
199908,0.0472,0.0740,0.0815,0.0649,0.0075,0.0177
199909,0.0468,0.0739,0.0820,0.0646,0.0081,0.0178
199910,0.0486,0.0755,0.0838,0.0651,0.0083,0.0165
199911,0.0507,0.0736,0.0815,0.0662,0.0079,0.0155
199912,0.0520,0.0755,0.0819,0.0682,0.0064,0.0162
200001,0.0532,0.0778,0.0833,0.0666,0.0055,0.0134
200002,0.0555,0.0768,0.0829,0.0646,0.0061,0.0091
200003,0.0569,0.0768,0.0837,0.0618,0.0069,0.0049
200004,0.0566,0.0764,0.0840,0.0630,0.0076,0.0064
200005,0.0579,0.0799,0.0890,0.0640,0.0091,0.0061
200006,0.0569,0.0767,0.0848,0.0622,0.0081,0.0053
200007,0.0596,0.0765,0.0835,0.0611,0.0070,0.0015
200008,0.0609,0.0755,0.0826,0.0594,0.0071,-0.0015
200009,0.0600,0.0762,0.0835,0.0612,0.0073,0.0012
200010,0.0611,0.0755,0.0834,0.0600,0.0079,-0.0011
200011,0.0617,0.0745,0.0828,0.0576,0.0083,-0.0041
200012,0.0577,0.0721,0.0802,0.0558,0.0081,-0.0019
200101,0.0515,0.0715,0.0793,0.0562,0.0078,0.0047
200102,0.0488,0.0710,0.0787,0.0549,0.0077,0.0061
200103,0.0442,0.0698,0.0784,0.0559,0.0086,0.0117
200104,0.0387,0.0720,0.0807,0.0593,0.0087,0.0206
200105,0.0362,0.0729,0.0807,0.0594,0.0078,0.0232
200106,0.0349,0.0718,0.0797,0.0590,0.0079,0.0241
200107,0.0351,0.0713,0.0797,0.0561,0.0084,0.0210
200108,0.0336,0.0702,0.0785,0.0546,0.0083,0.0210
200109,0.0264,0.0717,0.0803,0.0542,0.0086,0.0278
200110,0.0216,0.0703,0.0791,0.0506,0.0088,0.0290
200111,0.0187,0.0697,0.0781,0.0553,0.0084,0.0366
200112,0.0169,0.0677,0.0805,0.0575,0.0128,0.0406
200201,0.0165,0.0655,0.0787,0.0569,0.0132,0.0404
200202,0.0172,0.0651,0.0789,0.0563,0.0138,0.0391
200203,0.0179,0.0681,0.0811,0.0604,0.0130,0.0425
200204,0.0171,0.0676,0.0803,0.0575,0.0127,0.0404
200205,0.0173,0.0675,0.0809,0.0578,0.0134,0.0405
200206,0.0170,0.0663,0.0795,0.0566,0.0132,0.0396
200207,0.0168,0.0653,0.0790,0.0544,0.0137,0.0376
200208,0.0162,0.0637,0.0758,0.0510,0.0121,0.0348
200209,0.0163,0.0615,0.0740,0.0480,0.0125,0.0317
200210,0.0158,0.0632,0.0773,0.0508,0.0141,0.0350
200211,0.0123,0.0631,0.0762,0.0521,0.0131,0.0398
200212,0.0119,0.0621,0.0745,0.0484,0.0124,0.0365
200301,0.0117,0.0617,0.0735,0.0495,0.0118,0.0378
200302,0.0117,0.0595,0.0706,0.0472,0.0111,0.0355
200303,0.0113,0.0589,0.0695,0.0486,0.0106,0.0373
200304,0.0113,0.0574,0.0685,0.0481,0.0111,0.0368
200305,0.0107,0.0522,0.0638,0.0436,0.0116,0.0329
200306,0.0092,0.0497,0.0619,0.0452,0.0122,0.0360
200307,0.0090,0.0549,0.0662,0.0542,0.0113,0.0452
200308,0.0095,0.0588,0.0701,0.0532,0.0113,0.0437
200309,0.0094,0.0572,0.0679,0.0490,0.0107,0.0396
200310,0.0092,0.0570,0.0673,0.0518,0.0103,0.0426
200311,0.0093,0.0565,0.0666,0.0519,0.0101,0.0426
200312,0.0090,0.0562,0.0660,0.0511,0.0098,0.0421
200401,0.0088,0.0554,0.0644,0.0499,0.0090,0.0411
200402,0.0093,0.0550,0.0627,0.0483,0.0077,0.0390
200403,0.0094,0.0533,0.0611,0.0474,0.0078,0.0380
200404,0.0094,0.0573,0.0646,0.0531,0.0073,0.0437
200405,0.0102,0.0604,0.0675,0.0539,0.0071,0.0437
200406,0.0127,0.0601,0.0678,0.0532,0.0077,0.0405
200407,0.0133,0.0582,0.0662,0.0523,0.0080,0.0390
200408,0.0148,0.0565,0.0646,0.0493,0.0081,0.0345
200409,0.0165,0.0546,0.0627,0.0488,0.0081,0.0323
200410,0.0176,0.0547,0.0621,0.0478,0.0074,0.0302
200411,0.0207,0.0552,0.0620,0.0502,0.0068,0.0295
200412,0.0219,0.0547,0.0615,0.0484,0.0068,0.0265
200501,0.0233,0.0536,0.0602,0.0465,0.0066,0.0232
200502,0.0254,0.0520,0.0582,0.0479,0.0062,0.0225
200503,0.0274,0.0540,0.0606,0.0488,0.0066,0.0214
200504,0.0278,0.0533,0.0605,0.0461,0.0072,0.0183
200505,0.0284,0.0515,0.0601,0.0440,0.0086,0.0156
200506,0.0297,0.0496,0.0586,0.0429,0.0090,0.0132
200507,0.0322,0.0506,0.0595,0.0456,0.0089,0.0134
200508,0.0344,0.0509,0.0596,0.0432,0.0087,0.0088
200509,0.0342,0.0513,0.0603,0.0464,0.0090,0.0122
200510,0.0371,0.0535,0.0630,0.0484,0.0095,0.0113
200511,0.0388,0.0542,0.0639,0.0481,0.0097,0.0093
200512,0.0389,0.0537,0.0632,0.0461,0.0095,0.0072
200601,0.0424,0.0529,0.0624,0.0474,0.0095,0.0050
200602,0.0443,0.0535,0.0627,0.0457,0.0092,0.0014
200603,0.0451,0.0553,0.0641,0.0507,0.0088,0.0056
200604,0.0460,0.0584,0.0668,0.0532,0.0084,0.0072
200605,0.0472,0.0595,0.0675,0.0535,0.0080,0.0063
200606,0.0479,0.0589,0.0678,0.0531,0.0089,0.0052
200607,0.0495,0.0585,0.0676,0.0518,0.0091,0.0023
200608,0.0496,0.0568,0.0659,0.0496,0.0091,0.0000
200609,0.0481,0.0551,0.0643,0.0484,0.0092,0.0003
200610,0.0492,0.0551,0.0642,0.0481,0.0091,-0.0011
200611,0.0494,0.0533,0.0620,0.0467,0.0087,-0.0027
200612,0.0485,0.0532,0.0622,0.0491,0.0090,0.0006
200701,0.0498,0.0540,0.0634,0.0502,0.0094,0.0004
200702,0.0503,0.0539,0.0628,0.0477,0.0089,-0.0026
200703,0.0494,0.0530,0.0627,0.0493,0.0097,-0.0001
200704,0.0487,0.0547,0.0639,0.0489,0.0092,0.0002
200705,0.0473,0.0547,0.0639,0.0510,0.0092,0.0037
200706,0.0461,0.0579,0.0670,0.0521,0.0091,0.0060
200707,0.0482,0.0573,0.0665,0.0501,0.0092,0.0019
200708,0.0420,0.0579,0.0665,0.0487,0.0086,0.0067
200709,0.0389,0.0574,0.0659,0.0489,0.0085,0.0100
200710,0.0390,0.0566,0.0648,0.0480,0.0082,0.0090
200711,0.0327,0.0544,0.0640,0.0445,0.0096,0.0118
200712,0.0300,0.0549,0.0665,0.0450,0.0116,0.0150
200801,0.0275,0.0533,0.0654,0.0436,0.0121,0.0161
200802,0.0212,0.0553,0.0682,0.0438,0.0129,0.0226
200803,0.0126,0.0551,0.0689,0.0432,0.0138,0.0306
200804,0.0129,0.0555,0.0697,0.0458,0.0142,0.0329
200805,0.0173,0.0557,0.0693,0.0475,0.0136,0.0302
200806,0.0186,0.0568,0.0707,0.0460,0.0139,0.0274
200807,0.0163,0.0567,0.0716,0.0465,0.0149,0.0302
200808,0.0172,0.0564,0.0715,0.0449,0.0151,0.0277
200809,0.0113,0.0565,0.0731,0.0443,0.0166,0.0330
200810,0.0067,0.0628,0.0888,0.0478,0.0260,0.0411
200811,0.0019,0.0612,0.0921,0.0372,0.0309,0.0353
200812,0.0003,0.0505,0.0843,0.0303,0.0338,0.0300
200901,0.0013,0.0505,0.0814,0.0394,0.0309,0.0381
200902,0.0030,0.0527,0.0808,0.0401,0.0281,0.0371
200903,0.0021,0.0550,0.0842,0.0355,0.0292,0.0334
200904,0.0016,0.0539,0.0839,0.0410,0.0300,0.0394
200905,0.0018,0.0554,0.0806,0.0432,0.0252,0.0414
200906,0.0018,0.0561,0.0750,0.0429,0.0189,0.0411
200907,0.0018,0.0541,0.0709,0.0430,0.0168,0.0412
200908,0.0017,0.0526,0.0658,0.0415,0.0132,0.0398
200909,0.0012,0.0513,0.0631,0.0403,0.0118,0.0391
200910,0.0007,0.0515,0.0629,0.0420,0.0114,0.0413
200911,0.0005,0.0519,0.0632,0.0406,0.0113,0.0401
200912,0.0005,0.0526,0.0637,0.0458,0.0111,0.0453
201001,0.0006,0.0526,0.0625,0.0441,0.0099,0.0435
201002,0.0011,0.0535,0.0634,0.0441,0.0099,0.0430
201003,0.0015,0.0527,0.0627,0.0458,0.0100,0.0443
201004,0.0016,0.0529,0.0625,0.0437,0.0096,0.0421
201005,0.0016,0.0496,0.0605,0.0407,0.0109,0.0391
201006,0.0012,0.0488,0.0623,0.0376,0.0135,0.0364
201007,0.0016,0.0472,0.0601,0.0377,0.0129,0.0361
201008,0.0016,0.0449,0.0566,0.0327,0.0117,0.0311
201009,0.0015,0.0453,0.0566,0.0341,0.0113,0.0326
201010,0.0013,0.0468,0.0572,0.0367,0.0104,0.0354
201011,0.0014,0.0487,0.0592,0.0380,0.0105,0.0366
201012,0.0014,0.0502,0.0610,0.0414,0.0108,0.0400
201101,0.0015,0.0504,0.0609,0.0432,0.0105,0.0417
201102,0.0013,0.0522,0.0615,0.0426,0.0093,0.0413
201103,0.0010,0.0513,0.0603,0.0429,0.0090,0.0419
201104,0.0006,0.0516,0.0602,0.0416,0.0086,0.0410
201105,0.0004,0.0496,0.0578,0.0391,0.0082,0.0387
201106,0.0004,0.0499,0.0575,0.0409,0.0076,0.0405
201107,0.0004,0.0493,0.0576,0.0378,0.0083,0.0374
201108,0.0002,0.0437,0.0536,0.0315,0.0099,0.0313
201109,0.0001,0.0409,0.0527,0.0265,0.0118,0.0264
201110,0.0002,0.0398,0.0537,0.0291,0.0139,0.0289
201111,0.0001,0.0387,0.0514,0.0273,0.0127,0.0272
201112,0.0001,0.0393,0.0525,0.0255,0.0132,0.0254
201201,0.0003,0.0385,0.0523,0.0249,0.0138,0.0246
201202,0.0009,0.0385,0.0514,0.0272,0.0129,0.0263
201203,0.0008,0.0399,0.0523,0.0297,0.0124,0.0289
201204,0.0008,0.0396,0.0519,0.0268,0.0123,0.0260
201205,0.0009,0.0380,0.0507,0.0221,0.0127,0.0212
201206,0.0009,0.0364,0.0502,0.0233,0.0138,0.0224
201207,0.0010,0.0340,0.0487,0.0216,0.0147,0.0206
201208,0.0010,0.0348,0.0491,0.0223,0.0143,0.0213
201209,0.0011,0.0349,0.0484,0.0235,0.0135,0.0224
201210,0.0010,0.0347,0.0458,0.0238,0.0111,0.0228
201211,0.0009,0.0350,0.0451,0.0228,0.0101,0.0219
201212,0.0007,0.0365,0.0463,0.0246,0.0098,0.0239
201301,0.0007,0.0380,0.0473,0.0291,0.0093,0.0284
201302,0.0010,0.0390,0.0485,0.0285,0.0095,0.0275
201303,0.0009,0.0393,0.0485,0.0287,0.0092,0.0278
201304,0.0006,0.0373,0.0459,0.0264,0.0086,0.0258
201305,0.0004,0.0389,0.0473,0.0309,0.0084,0.0305
201306,0.0005,0.0427,0.0519,0.0330,0.0092,0.0325
201307,0.0004,0.0434,0.0532,0.0344,0.0098,0.0340
201308,0.0004,0.0454,0.0542,0.0351,0.0088,0.0347
201309,0.0002,0.0464,0.0547,0.0349,0.0083,0.0347
201310,0.0005,0.0453,0.0531,0.0342,0.0078,0.0337
201311,0.0007,0.0463,0.0538,0.0361,0.0075,0.0354
201312,0.0007,0.0462,0.0538,0.0378,0.0076,0.0371
201401,0.0004,0.0449,0.0519,0.0342,0.0070,0.0338
201402,0.0005,0.0445,0.0510,0.0339,0.0065,0.0334
201403,0.0005,0.0438,0.0506,0.0337,0.0068,0.0332
201404,0.0003,0.0424,0.0490,0.0326,0.0066,0.0323
201405,0.0003,0.0416,0.0476,0.0309,0.0060,0.0306
201406,0.0004,0.0425,0.0480,0.0313,0.0055,0.0309
201407,0.0003,0.0416,0.0473,0.0310,0.0057,0.0307
201408,0.0003,0.0408,0.0469,0.0287,0.0061,0.0284
201409,0.0002,0.0411,0.0480,0.0300,0.0069,0.0298
201410,0.0002,0.0392,0.0469,0.0282,0.0077,0.0280
201411,0.0002,0.0392,0.0479,0.0264,0.0087,0.0262
201412,0.0003,0.0379,0.0474,0.0246,0.0095,0.0243
201501,0.0003,0.0346,0.0445,0.0200,0.0099,0.0197
201502,0.0002,0.0361,0.0451,0.0238,0.0090,0.0236
201503,0.0003,0.0364,0.0454,0.0230,0.0090,0.0227
201504,0.0002,0.0352,0.0448,0.0249,0.0096,0.0247
201505,0.0002,0.0398,0.0489,0.0262,0.0091,0.0260
201506,0.0002,0.0419,0.0513,0.0285,0.0094,0.0283
201507,0.0003,0.0415,0.0520,0.0263,0.0105,0.0260
201508,0.0007,0.0404,0.0519,0.0264,0.0115,0.0257
201509,0.0002,0.0407,0.0534,0.0253,0.0127,0.0251
201510,0.0002,0.0395,0.0534,0.0259,0.0139,0.0257
201511,0.0012,0.0406,0.0546,0.0265,0.0140,0.0253
201512,0.0023,0.0397,0.0546,0.0268,0.0149,0.0245
201601,0.0026,0.0400,0.0545,0.0236,0.0145,0.0210
201602,0.0031,0.0396,0.0534,0.0217,0.0138,0.0186
201603,0.0029,0.0382,0.0513,0.0218,0.0131,0.0189
201604,0.0023,0.0362,0.0479,0.0223,0.0117,0.0200
201605,0.0027,0.0365,0.0468,0.0219,0.0103,0.0192
201606,0.0027,0.0350,0.0453,0.0179,0.0103,0.0152
201607,0.0030,0.0328,0.0422,0.0175,0.0094,0.0145
201608,0.003,0.0332,0.0424,0.0186,0.0092,0.0156
201609,0.0029,0.0341,0.0431,0.0196,0.0090,0.0167
201610,0.0033,0.0351,0.0438,0.0220,0.0087,0.0187
201611,0.0045,0.0386,0.0471,0.0267,0.0085,0.0222
201612,0.0051,0.0406,0.0483,0.0272,0.0077,0.0221
201701,0.0051,0.0392,0.0466,0.0278,0.0074,0.0227
201702,0.0052,0.0395,0.0464,0.0270,0.0069,0.0218
201703,0.0074,0.0401,0.0468,0.0274,0.0067,0.0200
201704,0.0080,0.0387,0.0457,0.0265,0.0070,0.0185
201705,0.0089,0.0385,0.0455,0.0256,0.0070,0.0167
201706,0.0098,0.0368,0.0437,0.0258,0.0069,0.0160
201707,0.0107,0.0370,0.0439,0.0262,0.0069,0.0155
201708,0.0101,0.0363,0.0431,0.0242,0.0068,0.0141
201709,0.0103,0.0363,0.0430,0.0259,0.0067,0.0156
201710,0.0107,0.0360,0.0432,0.0261,0.0072,0.0154
201711,0.0123,0.0357,0.0427,0.0260,0.0070,0.0137
201712,0.0132,0.0351,0.0422,0.0254,0.0071,0.0122
201801,0.0141,0.0355,0.0426,0.0284,0.0071,0.0143
201802,0.0157,0.0382,0.0451,0.0301,0.0069,0.0144
201803,0.0170,0.0387,0.0464,0.0285,0.0077,0.0115
201804,0.0176,0.0385,0.0467,0.0300,0.0082,0.0124
201805,0.0186,0.0400,0.0483,0.0289,0.0083,0.0103
201806,0.0190,0.0396,0.0483,0.0291,0.0087,0.0101
201807,0.0196,0.0387,0.0479,0.0302,0.0092,0.0106
201808,0.0203,0.0388,0.0477,0.0293,0.0089,0.0090
201809,0.0213,0.0398,0.0488,0.0334,0.0090,0.0121
201810,0.0225,0.0414,0.0507,0.0352,0.0093,0.0127
201811,0.0233,0.0422,0.0522,0.0317,0.0100,0.0084
201812,0.0237,0.0402,0.0513,0.0284,0.0111,0.0047
201901,0.0237,0.0393,0.0512,0.0271,0.0119,0.0034
201902,0.0239,0.0379,0.0495,0.0268,0.0116,0.0029
201903,0.0240,0.0377,0.0484,0.0257,0.0107,0.0017
201904,0.0238,0.0369,0.0470,0.0253,0.0101,0.0015
201905,0.0235,0.0367,0.0463,0.0240,0.0096,0.0005
201906,0.0217,0.0342,0.0446,0.0207,0.0104,-0.0010
201907,0.0210,0.0329,0.0428,0.0206,0.0099,-0.0004
201908,0.0195,0.0298,0.0387,0.0163,0.0089,-0.0032
201909,0.0189,0.0303,0.0391,0.0170,0.0088,-0.0019
201910,0.0165,0.0301,0.0392,0.0171,0.0091,0.0006
201911,0.0154,0.0306,0.0394,0.0181,0.0088,0.0027
201912,0.0154,0.0301,0.0388,0.0186,0.0087,0.0032
202001,0.0152,0.0294,0.0377,0.0176,0.0083,0.0024
202002,0.0152,0.0278,0.0361,0.0150,0.0083,-0.0002
202003,0.0029,0.0302,0.0429,0.0087,0.0127,0.0058
202004,0.0014,0.0243,0.0413,0.0066,0.0170,0.0052
202005,0.0013,0.0250,0.0395,0.0067,0.0145,0.0054
202006,0.0016,0.0244,0.0364,0.0073,0.0120,0.0057
202007,0.0013,0.0214,0.0331,0.0062,0.0117,0.0049
202008,0.0010,0.0225,0.0327,0.0065,0.0102,0.0055
202009,0.0011,0.0231,0.0336,0.0068,0.0105,0.0057
202010,0.0010,0.0235,0.0344,0.0079,0.0109,0.0069
202011,0.0009,0.0230,0.0330,0.0087,0.0100,0.0078
202012,0.0009,0.0226,0.0316,0.0093,0.0090,0.0084
202101,0.0008,0.0245,0.0324,0.0108,0.0079,0.0100
202102,0.0004,0.0270,0.0342,0.0126,0.0072,0.0122
202103,0.0003,0.0304,0.0374,0.0161,0.0070,0.0158
202104,0.0002,0.0290,0.0360,0.0164,0.0070,0.0162
202105,0.0002,0.0296,0.0362,0.0162,0.0066,0.0160
202106,0.0004,0.0279,0.0344,0.0152,0.0065,0.0148
202107,0.0005,0.0257,0.0324,0.0132,0.0067,0.0127
202108,0.0005,0.0255,0.0324,0.0128,0.0069,0.0123
202109,0.0004,0.0253,0.0323,0.0137,0.0070,0.0133
202110,0.0005,0.0268,0.0335,0.0158,0.0067,0.0153
202111,0.0005,0.0262,0.0328,0.0156,0.0066,0.0151
202112,0.0006,0.0265,0.0330,0.0147,0.0065,0.0141
202201,0.0015,0.0293,0.0358,0.0176,0.0065,0.0161
202202,0.0033,0.0325,0.0397,0.0193,0.0072,0.0160
202203,0.0044,0.0343,0.0429,0.0213,0.0086,0.0169
202204,0.0076,0.0376,0.0466,0.0275,0.0090,0.0199
202205,0.0098,0.0413,0.0512,0.0290,0.0099,0.0192
202206,0.0149,0.0424,0.0527,0.0314,0.0103,0.0165
202207,0.0223,0.0406,0.0521,0.0290,0.0115,0.0067
202208,0.0263,0.0407,0.0515,0.0290,0.0108,0.0027
202209,0.0313,0.0459,0.0569,0.0352,0.0110,0.0039
202210,0.0372,0.0510,0.0626,0.0398,0.0116,0.0026
202211,0.0415,0.0490,0.0607,0.0389,0.0117,-0.0026
202212,0.0425,0.0443,0.0559,0.0362,0.0116,-0.0063
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,